Name,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Essentiality
YFL026W,6.96,0.46,5.1,2.78,6.26,4.18,0.93,7.66,3.94,10.21,2.55,5.34,3.48,3.25,3.71,11.37,10.44,6.26,0.7,4.41,0
YPL228W,5.1,0.36,7.83,8.01,2.73,3.83,1.82,7.29,8.93,6.92,1.28,7.47,5.1,4.55,4.37,10.75,5.46,4.92,0.55,2.73,1
YDR110W,3.71,1.59,7.07,8.66,4.06,5.48,2.3,4.77,7.95,9.36,2.12,5.48,4.24,3.89,6.01,7.6,5.65,4.77,0.53,4.77,0
YPL081W,10.66,0,6.09,8.12,3.55,5.08,2.03,4.57,9.14,10.15,1.02,2.03,4.57,2.54,11.68,6.09,3.55,6.09,0,3.05,0
YLR390W-A,14.71,3.36,2.1,4.62,1.26,2.1,0.84,1.68,5.46,5.88,0.84,2.52,2.52,2.1,0.42,35.29,7.14,5.88,0,1.26,0
YLR421C,2.56,1.28,5.77,13.46,4.49,5.13,0,7.05,7.05,7.05,3.21,6.41,5.77,3.21,3.85,10.9,2.56,5.77,2.56,1.92,0
YOR298C-A,9.27,0,6.62,3.31,0,9.27,0,5.3,10.6,5.96,1.32,7.28,4.64,4.64,9.93,6.62,5.96,7.28,0.66,1.32,0
YJR048W,6.42,2.75,3.67,6.42,3.67,11.01,3.67,3.67,14.68,7.34,2.75,6.42,3.67,1.83,2.75,3.67,7.34,2.75,0.92,4.59,0
YEL039C,7.08,1.77,4.42,5.31,3.54,10.62,2.65,4.42,15.04,4.42,3.54,6.19,4.42,2.65,2.65,5.31,7.96,2.65,0.88,4.42,0
Q0105,5.71,1.04,2.08,1.3,9.35,6.49,3.38,10.39,1.82,11.17,4.42,5.19,4.94,1.56,2.86,7.27,4.16,9.61,1.82,5.45,0
YML054C,7.61,1.35,6.09,6.6,2.54,6.43,1.52,5.75,9.31,9.98,1.69,4.57,5.75,3.21,4.4,6.09,5.08,7.78,1.02,3.21,0
YOL086C,10.06,2.3,4.6,5.75,2.3,12.64,2.87,6.03,6.9,6.9,2.01,3.16,3.74,2.59,2.3,6.03,4.02,10.34,1.44,4.02,0
YMR303C,10.63,2.3,4.31,6.03,2.3,12.07,3.16,6.32,6.9,7.18,1.44,3.74,4.31,1.72,2.3,6.9,4.02,9.2,1.44,3.74,0
